@relation 'NPS_Class-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.Remove-V-R570,4,1000,1004,221,573,372,1177,925,1466,1528'

@attribute GATS1s numeric
@attribute nBase numeric
@attribute SsssN numeric
@attribute SsOH numeric
@attribute AATS5p numeric
@attribute GATS4s numeric
@attribute AATSC3s numeric
@attribute IC5 numeric
@attribute NsOH numeric
@attribute nRot numeric
@attribute Class {Phenethylamines,Cannabinoids,Opioids,'Other substances',Benzodiazepines,Cathinones}

@data
0.477895,0,0,0,1.279638,0.701917,0.015036,4.878085,0,4,Cannabinoids
0.543927,0,0,0,1.197118,1.118061,-0.029515,5.195486,0,10,Cannabinoids
0.562566,1,0,0,1.170257,1.262594,0.005502,4.815623,0,3,Cannabinoids
0.472431,1,4.108536,0,1.145865,0.953911,0.031901,5.123856,0,5,Phenethylamines
0.500351,0,0,0,1.396775,0.978845,0.069412,5.376629,0,7,Cannabinoids
0.549996,0,0,0,1.166263,0.950245,-0.007611,4.907922,0,8,Cannabinoids
0.577474,1,4.643506,0,1.335042,1.213189,-0.024133,5.457361,0,7,Phenethylamines
0.549996,0,0,0,1.1695,0.959585,-0.045673,4.907922,0,8,Cannabinoids
0.517833,0,0,0,1.700873,1.024135,-0.044743,4.936286,0,1,Opioids
0.539396,0,0,0,1.182043,1.099935,0.036176,5.079965,0,9,Cannabinoids
0.548919,0,0,0,1.267118,1.448135,0.045904,5.490613,0,9,Cannabinoids
0.548008,1,2.361971,0,1.173635,0.880164,0.079703,5.20248,0,11,Opioids
0.629565,0,0,0,1.175472,1.13201,0.082043,5.133396,0,10,Cannabinoids
0.48065,0,0,0,1.190099,0.652504,0.031986,4.726103,0,6,Cannabinoids
0.496259,0,0,0,1.460265,1.004826,0.031156,5.410628,0,7,Cannabinoids
0.563421,1,2.363128,0,1.161018,0.859018,0.055264,5.262684,0,11,Opioids
0.555078,0,0,0,1.181707,0.974735,-0.063828,5.034523,0,9,Cannabinoids
0.519379,0,0,0,1.338058,0.944909,0.040707,5.410628,0,7,Cannabinoids
0.59355,0,0,0,1.162444,0.916412,-0.036008,5.053661,0,9,Cannabinoids
0.504563,0,0,0,1.173608,0.769281,0.055607,4.760017,0,4,Cannabinoids
0.531074,0,0,0,1.464807,0.930964,0.023857,5.480084,0,4,Cannabinoids
0.633635,0,0,0,1.203068,1.042302,0.050935,5.053661,0,9,Cannabinoids
0.848365,1,0,8.649293,1.057083,0.752504,-0.280779,4.46967,1,4,Phenethylamines
0.517216,0,0,0,1.326301,0.929636,0.02277,5.443856,0,7,Cannabinoids
0.551421,0,0,0,1.2909,1.450557,0.077452,5.397547,0,8,Cannabinoids
0.521581,0,1.371432,0,1.386381,1.055108,-0.041913,4.936286,0,2,Cannabinoids
0.547717,0,0,0,1.279824,1.125779,-0.043524,5.232361,0,7,Cannabinoids
0.60296,0,0,0,1.220399,0.733215,-0.274359,5.027402,0,6,Cannabinoids
0.603387,0,0,0,1.149926,0.787428,-0.075746,4.873501,0,8,Cannabinoids
0.522196,0,0,0,1.351616,0.989857,0.038759,5.376629,0,7,Cannabinoids
0.528734,0,0,0,1.260599,0.953691,-0.009921,5.444612,0,9,Cannabinoids
0.554943,0,0,0,1.467923,1.346666,0.098136,5.549453,0,6,Cannabinoids
0.533392,0,0,0,1.170116,0.743128,0.035171,4.706239,0,4,Cannabinoids
0.531555,0,0,0,1.296627,1.218852,0.009004,5.333661,0,7,Cannabinoids
0.513443,1,2.362366,0,1.167887,1.06189,-0.041375,5.456955,0,9,Phenethylamines
0.513947,0,0,0,1.313974,0.876224,-0.014184,5.476347,0,7,Cannabinoids
0.540043,0,0,0,1.185465,0.909939,0.017393,4.818338,0,6,Cannabinoids
0.51179,0,0,0,1.302018,0.874365,-0.024026,5.443856,0,7,Cannabinoids
0.546338,0,0,0,1.375396,1.313139,0.096305,5.416692,0,7,Cannabinoids
0.660671,0,0,0,1.142848,0.88313,0.023052,4.9138,0,8,Cannabinoids
0.548364,0,0,0,1.172724,0.963013,-0.042623,4.949514,0,8,Cannabinoids
0.568883,0,0,0,1.376558,1.260604,0.059473,5.458966,0,7,Cannabinoids
0.549996,0,0,0,1.174412,0.984513,-0.04762,4.907922,0,8,Cannabinoids
0.53731,0,0,0,1.18802,1.105564,-0.003081,5.119153,0,9,Cannabinoids
0.498628,0,0,0,1.400835,1.004936,0.029252,5.410628,0,7,Cannabinoids
0.585398,1,4.489876,0,1.281478,1.285272,0.038737,5.473557,0,6,Opioids
0.512441,0,0,0,1.25367,0.905153,-0.03058,5.172234,0,7,Cannabinoids
0.505405,0,0,0,1.390536,0.990544,0.092984,5.376629,0,7,Cannabinoids
0.553132,0,0,0,1.263432,0.948737,-0.071835,5.095362,0,6,Cannabinoids
0.50755,0,0,0,1.373713,0.9754,0.022184,5.416692,0,7,Cannabinoids
0.51465,1,4.604835,0,1.277522,1.52415,-0.012486,5.125258,0,6,Opioids
0.602286,1,0,0,1.116804,2.02138,0.137616,4.396292,0,4,Phenethylamines
0.525682,0,0,0,1.214473,0.760458,-0.066446,5.208868,0,8,Cannabinoids
0.591678,0,0,0,1.169974,0.924441,-0.071626,5.093802,0,9,Cannabinoids
0.518339,0,0,0,1.391771,1.007632,0.030637,5.449526,0,8,Cannabinoids
0.534899,1,4.056701,0,1.255487,1.59263,0.005173,5.280782,0,7,Opioids
1.255549,1,0,9.472778,1.022497,1.592842,0.168296,4.303509,1,2,Opioids
0.603792,0,0,0,1.181134,1.009522,0.085544,5.111278,0,7,Cannabinoids
0.59355,0,0,0,1.171747,0.953719,-0.078515,5.053661,0,9,Cannabinoids
0.526265,0,0,0,1.479967,0.98133,-0.017134,5.512036,0,4,Cannabinoids
0.527353,0,0,0,1.143485,0.827476,0.059606,4.840224,0,4,Cannabinoids
0.547745,0,0,0,1.215821,0.813305,-0.025538,5.208868,0,8,Cannabinoids
0.568761,0,0,0,1.261344,0.923448,-0.113979,4.98783,0,6,Cannabinoids
0.661033,2,2.113392,0,1.183051,0.7635,-0.171389,5.198102,0,3,Phenethylamines
