SMILES,pLOLBC,pLBC50,pHOLBC
C=CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,4.524396122103842,3.1749111199358326,1.825426117767823
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,3.5168657614978143,3.2516547338603283,2.4821036552386024
CCC(=O)N(C1CCN(CC1C)CCC2=CC=CC=C2)C3=CC=CC=C3,3.067566767583015,2.6667505944664316,2.2659344213498485
CCN(CC)CCN1C2=C(C=C(C=C2)[N+](=O)[O-])N=C1CC3=CC=C(C=C3)OC(C)C,3.0112531701274974,2.370275112769165,1.6355895561666118
CC(C)(C)[C@@H](C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CC3CCCCC3,2.7236901723010902,2.527395527157122,1.3646682296594221
CC(C)[C@@H](C(=O)N)NC(=O)C1=NN(C2=CC=CC=C21)CC3CCCCC3,3.046909555867978,1.9838578101208892,1.4728782881402596
C1CN(CCC1N(C2=CC=CC=C2)C(=O)C3=CC=CO3)CCC4=CC=CC=C4,2.971391830707523,2.142088057876498,0.940994529850761
CC(C)(C1=CC=CC=C1)NC(=O)C2=NN(C3=CC=CC=C32)CCCCC#N,3.255875273391467,1.8087172420492474,0.7347371896874303
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CS3)COC,2.5872618496925344,1.7421638096782774,1.155898085533547
COCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3F,2.01248571154806,1.6097468199942533,1.384096781497748
C1CC1C(=O)N(C2CCN(CC2)CCC3=CC=CC=C3)C4=CC=CC=C4,2.39607474675579,0.9087343268544417,0.6613891901532368
CC(=O)O[C@H]1C=C[C@H]2[C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)OC(=O)C)CCN3C,2.5674968911042226,1.2180118889362133,-0.13147311323179622
CC(C)C(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=C(C=C3)F,2.6856238999142787,0.9229848157088829,-0.0017642318719247572
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,2.2132520521963968,1.600468195476661,-0.278109641637876
CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,2.049863813840333,1.1379094433681738,0.22595507289601446
CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,1.5951654147902294,1.118044160070567,0.27294612005631025
COCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,1.8481891169913987,0.5057664361691925,-0.10508721967590569
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,1.5355472791766678,0.7345172835126865,-0.06651271215129458
CC(C(=O)C1=CC=C(C=C1)Cl)NC,1.5177675406452482,0.7644398739866367,-0.08789657495153948
CC(CC1=CC(=C(C=C1OC)Br)OC)N,1.4379882502194996,1.1369582545555186,-0.5162542592198253
CCCC(C(=O)C1=CC=CC=C1)N2CCCC2,1.8871107031248837,0.5191339178302893,-0.7756471285566904
CCC(=O)C(C[C@@H](C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.8884603180353863,0.4905203093633487,0.1894903136993675
CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,0.6196150057428064,0.46910000791081585,0.3185850100788252
CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O,1.0019355292147514,0.28895116307861096,-0.4240332030575296
CCOC(=O)C(C1CCCCN1)C2=CC=CC=C2,1.4901868105026173,0.24714876181632284,-0.9451796961100439
CCCCCC(C(=O)C1=CC=CC=C1)N2CCCC2,0.5688702575035846,0.1964843533039352,-0.0010050504529765015
CCC(C(=O)C1=CC=CC=C1)NCC,0.5573709882667254,0.1577952169004286,-0.04468900306123703
CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,0.9782414021866238,0.6772114065226427,-1.0070353409926698
CN1C(=O)CN=C(C2=C1C=CC(=C2)[N+](=O)[O-])C3=CC=CC=C3F,0.7177814197394001,0.15531205143525015,-0.40715731686889983
CC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,0.14666719711546014,0.11184923304476292,0.07703126897406569
CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,0.7915503050273299,-0.1115396819646137,-0.5094796906366513
CCOC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4C)[C@@H](O2)[C@H](C=C5)O)C=C1,0.7971289877965525,0.018977737412908834,-0.9662990057663848
CC1=CC(=CC=C1)C(=O)C(C)NC,1.1693804953119495,-0.26731210235210473,-1.461555623752242
CCCC(C(=O)C1=CC=CC=C1)NC,0.1293585134844579,-0.3116392091529428,-0.6305751986649011
CCC(=O)C(CC(C)N1CCCCC1)(C2=CC=CC=C2)C3=CC=CC=C3,0.5434471800817001,-0.15552282425431857,-1.2489445094165537
CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,0.18864729599971736,-0.3219473535352517,-0.8325420030702207
C[C@H]1[C@@H](OCCN1C)C2=CC=CC=C2,-0.19547439685214807,-0.3794627894994453,-0.5634511821467425
CCNC(C)C(=O)C1=CC2=C(C=C1)OCO2,0.7650996827530528,-0.8855656420084109,-1.0650498439614315
